Year,Revenue_USD_M,Net_Income_USD_M,Total_Assets_USD_M,R&D_Expenditure_USD_M,R&D_Intensity_Pct,Patent_Applications_Filed,Frontier_Tech_Research_Index,Total_Employees,International_Employees_Pct,Countries_with_Presence,International_Sales_Pct,Emerging_Markets_Sales_Pct,Developed_Markets_Sales_Pct,Services_Revenue_Share_Pct,Customized_Solutions_Count,Customer_CoCreation_Projects,Customer_Satisfaction_Index,Service_24_7_Coverage_Pct,Product_Development_Cycle_Weeks,Cross_Departmental_Projects,Frontline_Decision_Authority_Index,Organizational_Structure_Type,Strategic_Partnerships_Count,JV_Count,University_Collaborations,Tech_Partnership_Agreements,Ecosystem_Partners_Count,Country_of_Origin_Perception_Index,Analyst_Strategy_Clarity_Rating,Brand_Premium_Index,Government_Credit_Lines_USD_M,Geopolitical_Risk_Score,Employee_Engagement_Score,Training_Hours_Per_Employee,New_Products_Launched,Digital_Maturity_Score
1987,0.0055,-0.0,0.01,0.0,0.0,11,13.6,1,1.68,1,0.0,100.0,0.0,8.36,1,0,52.6,0.0,97.3,2,5.3,Centralized,3,0,0,0,3,26.2,25.2,17.5,0.0,11.7,58.3,11.2,1,12.7
1988,0.03,0.0,0.06,0.0,0.0,21,5.1,416,1.35,1,0.0,100.0,0.0,6.79,1,0,53.1,0.0,91.2,1,8.1,Centralized,1,0,0,0,1,27.0,33.5,10.4,0.0,16.7,59.7,19.4,2,8.7
1989,0.18,0.0,0.31,0.01,5.56,24,10.1,795,1.47,1,0.0,100.0,0.0,6.27,4,0,48.5,0.0,84.8,1,12.8,Centralized,1,0,0,0,1,22.1,27.1,12.5,0.0,19.3,51.2,16.3,2,5.7
1990,1.0,0.01,1.57,0.05,5.0,8,9.2,1492,0.42,1,0.0,100.0,0.0,6.48,1,0,49.6,0.0,93.6,2,7.8,Centralized,2,0,0,0,2,21.4,30.0,17.1,0.0,15.6,57.3,13.3,2,5.8
1991,2.61,-0.09,5.17,0.1,3.83,9,7.2,1753,1.08,1,0.0,100.0,0.0,6.61,4,0,51.5,0.0,94.8,1,7.2,Centralized,2,0,0,0,2,20.1,22.6,19.0,0.0,15.7,59.4,11.4,2,6.0
1992,6.79,-0.23,12.28,0.44,6.48,27,6.2,2216,1.39,1,0.0,100.0,0.0,9.24,4,0,45.5,0.0,84.8,1,7.1,Centralized,3,0,0,0,3,23.5,22.9,15.1,0.0,12.8,51.8,17.9,2,13.4
1993,17.68,0.93,28.03,1.08,6.11,11,8.4,2377,0.46,1,0.0,100.0,0.0,5.68,4,0,54.5,0.0,87.6,0,10.2,Centralized,4,0,0,0,4,25.9,20.6,15.3,0.0,17.7,50.7,16.2,2,14.1
1994,46.06,3.9,85.06,3.77,8.18,17,14.4,2962,0.35,1,0.0,100.0,0.0,8.54,1,0,53.9,0.0,90.7,2,14.8,Centralized,3,0,0,0,3,23.9,22.5,11.1,0.0,11.9,57.4,15.3,1,6.2
1995,120.0,8.89,182.89,9.98,8.32,19,8.2,3889,1.96,1,0.0,100.0,0.0,7.76,3,0,47.6,0.0,89.9,2,9.6,Centralized,1,0,0,0,1,24.4,24.2,14.5,0.0,13.2,55.7,18.9,1,7.4
1996,309.84,24.27,661.98,19.28,6.22,85,19.0,9349,3.01,1,3.99,100.0,0.0,11.8,13,0,57.0,0.0,88.3,1,10.6,Centralized,15,0,0,0,15,34.8,38.4,22.5,0.0,14.3,58.4,17.9,6,18.3
1997,800.0,40.66,1344.92,56.6,7.08,106,23.8,12926,3.81,2,4.7,96.86,3.14,13.84,23,0,60.9,0.0,83.2,2,13.6,Centralized,27,1,0,0,27,37.4,41.4,24.5,0.0,15.1,51.4,11.5,9,21.7
1998,1214.64,107.86,2385.27,114.95,9.46,161,26.2,20116,5.6,3,6.11,92.93,7.07,15.27,29,0,62.5,0.0,78.2,0,10.4,Centralized,32,2,0,0,32,42.1,44.7,26.8,550.0,12.4,58.0,13.1,9,29.0
1999,1844.17,153.62,3168.65,229.64,12.45,174,34.8,27176,6.74,4,11.95,93.74,6.26,18.45,33,0,65.2,0.0,74.0,0,6.8,Centralized,57,6,0,0,57,48.3,50.7,29.5,10000.0,11.1,52.0,12.5,15,29.7
2000,2800.0,163.78,5219.33,321.81,11.49,265,39.6,27295,7.12,5,11.79,84.04,15.96,17.91,45,0,68.4,11.68,69.9,0,8.0,Centralized,60,8,0,0,60,49.0,52.1,30.1,10993.26,16.1,51.6,17.4,18,33.1
