Year,risk_probability,risk_prediction,risk_label
1988,0.98,2,🚨 EMERGENCY BRAKE
1989,0.985,2,🚨 EMERGENCY BRAKE
1990,1.0,2,🚨 EMERGENCY BRAKE
1991,0.985,2,🚨 EMERGENCY BRAKE
1992,0.985,2,🚨 EMERGENCY BRAKE
1993,1.0,2,🚨 EMERGENCY BRAKE
1994,1.0,2,🚨 EMERGENCY BRAKE
1995,1.0,2,🚨 EMERGENCY BRAKE
1996,1.0,2,🚨 EMERGENCY BRAKE
1997,1.0,2,🚨 EMERGENCY BRAKE
1998,1.0,2,🚨 EMERGENCY BRAKE
1999,0.995,2,🚨 EMERGENCY BRAKE
2000,0.995,2,🚨 EMERGENCY BRAKE
2001,0.98,2,🚨 EMERGENCY BRAKE
2002,0.82,2,🚨 EMERGENCY BRAKE
2003,0.215,1,WARNING / BURNOUT_RISK
2004,0.035,1,WARNING / BURNOUT_RISK
2005,0.02,1,WARNING / BURNOUT_RISK
2006,0.055,1,WARNING / BURNOUT_RISK
2007,0.0,1,WARNING / BURNOUT_RISK
2008,0.0,1,WARNING / BURNOUT_RISK
2009,0.0,1,WARNING / BURNOUT_RISK
2010,0.0,1,WARNING / BURNOUT_RISK
2011,0.0,0,NOMINAL
2012,0.0,0,NOMINAL
2013,0.0,0,NOMINAL
2014,0.0,0,NOMINAL
2015,0.0,0,NOMINAL
2016,0.0,0,NOMINAL
2017,0.0,0,NOMINAL
2018,0.0,0,NOMINAL
2019,0.0,0,NOMINAL
2020,0.0,0,NOMINAL
